"claim","review_url","claimer","text","headline","keywords","claim_date"
"http://data.gesis.org/claimskg/creative_work/c0471760-a6e0-589f-8835-5743644ef818","http://www.politifact.com/wisconsin/statements/2012/mar/21/david-clarke-jr/funding-eliminated-milwaukee-county-sheriffs-role-/","David A. Clarke Jr.","Says Milwaukee County Executive Chris Abele 'eliminated' sheriff’s office funding for providing security for presidential and presidential campaign visits.","Funding eliminated for Milwaukee County sheriff's role in presidential security, sheriff says","County Budget,County Government",2012-02-19
"http://data.gesis.org/claimskg/creative_work/1f7a4d15-6066-5191-bffc-acb5b8b205ce","http://www.politifact.com/florida/statements/2011/jan/25/dean-cannon/whats-killing-inmates-floridas-death-row/","Dean Cannon","'The number of inmates since 2000 on death row dying of natural causes has now surpassed the number of inmates executed.'","What's killing inmates on Florida's death row?","Legal Issues",2011-01-19
"http://data.gesis.org/claimskg/creative_work/f26ac033-82b1-5c60-b438-1a2ff5b76849","http://www.politifact.com/wisconsin/statements/2018/jul/18/club-growth/did-senate-candidate-leah-vukmir-seek-leniency-fel/","Club for Growth","Says Leah Vukmir 'wrote a letter seeking leniency for a fellow state legislator convicted of sexual assault.'","Did Senate candidate Leah Vukmir seek 'leniency' for fellow lawmaker convicted of sexual assault?","Criminal Justice",2018-07-12
"http://data.gesis.org/claimskg/creative_work/c2f4a591-4d04-579e-ae94-9cbf0302a0c7","http://www.politifact.com/punditfact/statements/2014/oct/07/gloria-steinem/steinem-more-women-killed-partners-911-deaths-atta/","Gloria Steinem","More women were killed by their husbands or boyfriends since Sept. 11 than 'all the Americans who were killed by 9/11 or in Afghanistan and Iraq.'","Steinem: More women killed by partners since 9/11 than deaths from attacks, ensuing wars","Women,Terrorism",2014-10-01
"http://data.gesis.org/claimskg/creative_work/1726b7a5-fede-5678-a2e6-d0dfa08e20ad","http://www.politifact.com/new-jersey/statements/2011/jun/22/cory-booker/newark-mayor-cory-booker-says-aclu-sought-monitor-/","Cory Booker","The ACLU didn't call for an investigation (of the Newark police department), they called for an immediate federal monitor.","Newark Mayor Cory Booker says ACLU sought monitor for police rather than investigation","Ethics",2011-05-10
"http://data.gesis.org/claimskg/creative_work/3c265e65-260f-5f58-92fa-603ef84dfdf8","http://www.politifact.com/texas/statements/2013/apr/03/kirk-watson/kirk-watson-says-29-texas-cities-use-carbon-monoxi/","Kirk Watson","Says carbon monoxide is still employed to euthanize dogs and cats in 29 Texas animal shelters.","Kirk Watson says 29 Texas cities use carbon monoxide to euthanize dogs and cats","Animals",2013-03-19
"http://data.gesis.org/claimskg/creative_work/5f88c388-302d-55fe-8112-0c47c9850abc","http://www.politifact.com/texas/statements/2018/may/23/instagram-posts/false-meme-suggests-texas-rapper-faces-death-penal/","Instagram posts","Says a young Texas rapper charged with capital crimes faces the death penalty but the alleged Santa Fe High School shooter faces prison and then parole after 40 years.","False meme suggests Texas rapper faces death penalty but Santa Fe school shooter does not","Children,Criminal Justice",2018-05-22
"http://data.gesis.org/claimskg/creative_work/51627557-d27c-50c8-9d1c-61e4efd21e6b","http://www.politifact.com/missouri/statements/2016/nov/02/eric-greitens/greitens-misses-bigger-picture-kosters-domestic-vi/","Eric Greitens","Chris Koster 'opposed protecting the women of Missouri' because he 'was one of only four senators to vote against' a bill ending the practice of making rape victims pay for their own rape kits.","Greitens misses bigger picture on Koster's domestic violence vote","Women",2016-09-30
"http://data.gesis.org/claimskg/creative_work/d3bff4b1-3737-56cb-8a0e-b6d69994f5a6","http://www.politifact.com/oregon/statements/2012/oct/19/oregon-senate-republicans/did-laurie-monnes-anderson-vote-let-violent-crimin/","Oregon Senate Republicans (The Leadership Fund)","Laurie Monnes Anderson 'voted to let violent criminals out of jail early.'","Did Laurie Monnes Anderson vote to let violent criminals out of jail early?","Criminal Justice,Voting Record",2012-10-12
"http://data.gesis.org/claimskg/creative_work/93da210d-3ea2-53e4-bafc-a04485b882c0","http://www.politifact.com/texas/statements/2014/sep/16/wendy-davis/wendy-davis-claims-greg-abbott-didnt-act-allegatio/","Wendy Davis","Greg Abbott did 'nothing' to pursue reports of the sexual abuse of boys at a West Texas state-run school.","Wendy Davis claims Greg Abbott didn't act on allegations of sexual abuse at state-run school","Children,Criminal Justice",2014-09-15
