"claim","review_url","claimer","text","headline","keywords","claim_date"
"http://data.gesis.org/claimskg/creative_work/1dcc7ba4-8990-5486-bb5d-60e38f0cb244","http://www.politifact.com/truth-o-meter/statements/2018/feb/01/john-calipari/college-basketball-graduation-rate-all-time-high-j/","John Calipari","'We have the highest graduation rate of basketball players in the history of the NCAA. We have the highest graduation rate of African-American basketball players in the history of the NCAA in basketball.'","Are college basketball graduation rates at an all-time high, as John Calipari said?","Sports",2018-01-20
"http://data.gesis.org/claimskg/creative_work/1eaf1d53-61a2-58ca-b3fd-e10a7480d8a4","http://www.politifact.com/wisconsin/statements/2019/mar/12/tony-evers/wisconsin-governor-takes-half-step-phasing-out-sch/","Tony Evers","On phasing out the private-school voucher program in his first budget","Wisconsin governor takes half-step back on phasing out school vouchers","Children,Disability,State Budget",2019-02-19
"http://data.gesis.org/claimskg/creative_work/305fbdf0-d6e2-5ae9-b5dd-4514d2bed980","http://www.politifact.com/virginia/statements/2016/jul/05/pat-robertson/pat-robertson-misleadingly-says-obama-was-schooled/","Pat Robertson","President Barack Obama attended  'an Islamic madrassa.'","Pat Robertson misleadingly says Obama was schooled at 'Islamic madrassa'","Islam",2016-06-27
"http://data.gesis.org/claimskg/creative_work/171a1847-c7e0-5545-aaa2-6036cc8b4405","http://www.politifact.com/wisconsin/statements/2014/apr/06/scott-walker/scott-walker-says-recent-wisconsin-poll-shows-70-a/","Scott Walker","A poll taken 'a few months ago' found '70 percent approval or higher' for the Act 10 collective bargaining law.","Scott Walker says recent Wisconsin poll shows 70% approval for collective bargaining law that led to massive protests, recall election","State Finances,City Government,County Government,Polls and Public Opinion,Unions,Pensions,State Budget",2014-04-01
"http://data.gesis.org/claimskg/creative_work/675af0f5-2786-5d60-b0c2-9b72b3241c62","http://www.politifact.com/truth-o-meter/statements/2016/aug/17/hillary-clinton/hillary-clintons-claim-she-would-make-biggest-jobs/","Hillary Clinton","Says her campaign platform includes the 'biggest investment in new, good-paying jobs since World War II.'","Hillary Clinton's claim that she would make the biggest jobs investment since World War II","Income,Infrastructure,Federal Budget,Energy,Technology,Jobs",2016-08-15
"http://data.gesis.org/claimskg/creative_work/75e4922f-ac79-5801-8196-409579c7aad8","http://www.politifact.com/wisconsin/statements/2014/dec/12/glenn-grothman/can-single-mother-wisconsin-easily-get-35000-year-/","Glenn Grothman","'A single parent with a couple kids can easily get $35,000 a year' in public assistance in Wisconsin.","Can a single parent in Wisconsin easily get $35,000 per year in government benefits?","Children,Welfare,Housing",2014-11-30
"http://data.gesis.org/claimskg/creative_work/ca9a3815-c82e-55e7-ab4a-d5d5932780a6","http://www.politifact.com/texas/statements/2011/feb/26/jeff-wentworth/state-sen-jeff-wentworth-says-texas-universities-d/","Jeff Wentworth","'We don’t have bars on campus in Texas. It’s against the law... no alcohol allowed.'","State Sen. Jeff Wentworth says Texas universities don't have bars on campus because it's against the law","Guns,Alcohol",2011-02-22
"http://data.gesis.org/claimskg/creative_work/cc343ecd-2654-5c91-b2e4-4d277772ebd0","http://www.politifact.com/wisconsin/statements/2014/may/28/mary-burke/no-evidence-students-voucher-schools-perform-bette/","Mary Burke","The Wisconsin school voucher program 'has no research that shows that it’s going to improve student learning.'","No evidence that choice students outperform public school students, Mary Burke says","Children,Religion,Poverty,State Budget",2014-05-06
"http://data.gesis.org/claimskg/creative_work/7d1edda9-fb56-584d-88ba-cde7307e311c","http://www.politifact.com/florida/statements/2010/feb/06/franklin-sands/florida-democrat-says-state-last-among-southeast-s/","Franklin Sands","'Florida still averages more students in its classrooms than any other state in the Southeast.'","Florida Democrat says state last among Southeast states in average class size","Florida",2010-01-29
"http://data.gesis.org/claimskg/creative_work/ef5eca87-40cc-57cd-a2ae-96af7708c973","http://www.politifact.com/truth-o-meter/statements/2016/jul/21/mike-pence/mike-pence-stretches-claim-record-education-spendi/","Mike Pence","Says as Indiana governor, he has made 'record investments in education.'","Mike Pence stretches claim of record education spending in Indiana at Republican convention","State Budget",2016-07-20
"http://data.gesis.org/claimskg/creative_work/5a45e0eb-2b93-563e-a5af-eab6a288193d","http://www.politifact.com/wisconsin/statements/2015/feb/06/tweets/scott-walker-wants-cut-college-budgets-13-and-spen/","Tweets","'Scott Walker to cut $300 million from universities, spend $500 million on a pro basketball stadium.'","Scott Walker wants to cut college budgets by 13% and spend $500 million for an NBA arena?","Sports,State Budget",2015-02-02
"http://data.gesis.org/claimskg/creative_work/c5174567-70a2-57bc-ab21-0da91f0763ca","http://www.politifact.com/truth-o-meter/statements/2018/feb/26/patrick-morrisey/precedent-says-west-virginia-teachers-strike-isnt-/","Patrick Morrisey","'The impending work stoppage is unlawful.'","Precedent says West Virginia teacher's strike isn't lawful","Workers,Legal Issues",2018-02-21
"http://data.gesis.org/claimskg/creative_work/a9657a13-2fd4-5c73-a6bf-b26cdec7a166","http://www.politifact.com/texas/statements/2013/dec/08/david-dewhurst/dewhurst-didnt-personally-cut-taxes-and-some-incre/","David Dewhurst","'I have cut taxes 63 times, including a 2006 property tax reduction that ranks as the largest in state history.'","Dewhurst didn't personally cut taxes--and some increased","Small Business,Candidate Biography",2013-10-01
"http://data.gesis.org/claimskg/creative_work/99e0baf1-2096-53d5-9f0f-04804accfdc7","http://www.politifact.com/florida/statements/2013/jul/16/kathleen-ford/kathleen-ford-says-private-prisons-use-third-grade/","Kathleen Ford","'Private prison systems are calculating how many new beds (they will need) based on the ... number of third graders.'","Kathleen Ford says private prisons use third-grade data to plan for prison beds","Crime",2013-06-27
"http://data.gesis.org/claimskg/creative_work/e01b2984-e3f0-5ded-a8b4-dacacd36e2a8","http://www.politifact.com/florida/statements/2014/jul/18/charlie-crist/rick-scotts-student-spending-about-200-less-during/","Charlie Crist","Says Rick Scott’s per-pupil education spending is 'about $200 less' than what it was under Charlie Crist during the recession.","Rick Scott's student spending is 'about $200 less' than during recession, Charlie Crist says","State Budget",2014-07-16
