"claim","review_url","claimer","text","headline","keywords","claim_date"
"http://data.gesis.org/claimskg/creative_work/4afc5430-4be3-5ed0-b4ee-154ee46e1ab5","http://www.politifact.com/truth-o-meter/statements/2016/nov/07/donald-trump/closing-argument-donald-trump-wrongly-says-he-outd/","Donald Trump","'Beyonce and Jay Z, I like them, I like them ... I get bigger crowds than they do. It's true. I get far bigger crowds.'","In closing argument, Donald Trump wrongly says he outdraws Beyonce, Jay Z","Pop Culture",2016-11-07
"http://data.gesis.org/claimskg/creative_work/04da739d-7ca5-52c7-bd4d-73746078e17d","http://www.politifact.com/florida/statements/2010/jul/28/kendrick-meek/greene-ran-republican-28-years-ago/","Kendrick Meek","Democratic candidate Jeff Greene 'ran for Congress as a California Republican.'","Jeff Greene ran as a Republican -- 28 years ago","Message Machine 2010,Candidate Biography",2010-07-26
"http://data.gesis.org/claimskg/creative_work/7cd393d1-c160-5074-bb5c-2b57631bfb97","http://www.politifact.com/truth-o-meter/statements/2016/dec/18/john-podesta/its-true-wikileaks-dumped-podesta-emails-hour-afte/","John Podesta","'On Oct. 7, the Access Hollywood tape comes out. One hour later, WikiLeaks starts dropping my emails.'","It's True: WikiLeaks dumped Podesta emails hour after Trump video surfaced","Corrections and Updates",2016-12-18
"http://data.gesis.org/claimskg/creative_work/1fe0f561-3015-54c5-a560-da9cdaf392f3","http://www.politifact.com/truth-o-meter/statements/2009/jun/15/mike-murphy/jose-no-1-baby-name-texas-social-security-administ/","Mike Murphy","In Texas, 'the No. 1 name for new male babies — many of whom will vote one day — is Jose.'","Jose is No. 1 baby name in Texas — Social Security Administration says so","Pundits",2009-06-12
"http://data.gesis.org/claimskg/creative_work/c0471760-a6e0-589f-8835-5743644ef818","http://www.politifact.com/wisconsin/statements/2012/mar/21/david-clarke-jr/funding-eliminated-milwaukee-county-sheriffs-role-/","David A. Clarke Jr.","Says Milwaukee County Executive Chris Abele 'eliminated' sheriff’s office funding for providing security for presidential and presidential campaign visits.","Funding eliminated for Milwaukee County sheriff's role in presidential security, sheriff says","County Budget,County Government",2012-02-19
"http://data.gesis.org/claimskg/creative_work/8a057b05-23f9-54bb-8b6f-bee39d528c93","http://www.politifact.com/florida/statements/2018/nov/08/steve-galloway/more-felons-regained-right-vote-florida-population/","Scott Galloway","'The number of people who just got their voting rights restored in Florida is greater than the populations of Wyoming, Vermont, Alaska, North Dakota, South Dakota, Delaware, Rhode Island, Montana, Maine and New Hampshire.'","More felons regained right to vote in Florida than population of many states","Criminal Justice",2018-11-07
"http://data.gesis.org/claimskg/creative_work/e1524f9a-5836-5741-802d-2bc2ea7853df","http://www.politifact.com/georgia/statements/2014/sep/26/david-perdue/perdues-attempt-tar-nunn-terrorist-link-fails/","David Perdue","'Michelle Nunn’s own plan says she funded organizations linked to terrorists.'","Perdue fails in attempt to tar Nunn for terrorist link","Job Accomplishments,Terrorism",2014-09-17
"http://data.gesis.org/claimskg/creative_work/a1f4d315-1968-5df4-a6cd-a3011c2c9f17","http://www.politifact.com/texas/statements/2016/jun/17/joaquin-castro/joaquin-castro-trump-san-antonio-60-percent-mexica/","Joaquin Castro","'@realDonaldTrump is coming to San Antonio, which is 60% Mexican-AMERICAN.'","Joaquin Castro to Trump: San Antonio is 60 percent Mexican-American - Mostly True","Civil Rights",2016-06-06
"http://data.gesis.org/claimskg/creative_work/2b9b5681-490b-575b-9ff0-5b7680651851","http://www.politifact.com/wisconsin/statements/2016/feb/19/john-oliver/office-provides-id-voting-one-wisconsin-burg-open-/","John Oliver","In Sauk City, Wisconsin, 'the ID office' that provides identification for voting 'is only open on the fifth Wednesday of every month' -- a total of four days in 2016.","Office that provides ID for voting in one Wisconsin burg is open 4 days in 2016, John Oliver says","Transportation,States,Civil Rights",2016-02-14
"http://data.gesis.org/claimskg/creative_work/9ed628b4-f04c-5593-84fc-6f0e7fc763a5","http://www.politifact.com/florida/statements/2011/sep/27/rick-scott/gov-rick-scotts-primary-math-florida-has-more-peop/","Rick Scott","'At nearly 19 million people, the population of Florida is larger than all the earlier primary and caucus states combined.'","Gov. Rick Scott's primary math: Florida has more people than early primary and caucus states combined","Diversity",2011-09-24
