"claim","review_url","claimer","text","headline","keywords","claim_date"
"http://data.gesis.org/claimskg/creative_work/d6fa6dfb-d9d8-5863-944a-b934d023691f","http://www.politifact.com/georgia/statements/2015/jul/07/metropolitan-north-georgia-water-planning-district/agency-says-low-flow-toilets-saving-millions-gallo/","Metropolitan North Georgia Water Planning District","Replacing 100,000 old toilets with water-efficient models has saved 2.4 million gallons of water every day.","Agency says low-flow toilets saving millions of gallons of water daily","Water",2015-06-16
"http://data.gesis.org/claimskg/creative_work/f2d4bd5d-2123-5d3a-9767-33db00d570d4","http://www.politifact.com/truth-o-meter/statements/2013/oct/15/louise-slaughter/rep-louise-slaughter-says-80-antibiotics-are-fed-l/","Louise Slaughter","'Eighty percent of the antibiotics in this country are fed to livestock.'","Rep. Louise Slaughter says 80% of antibiotics are fed to livestock","Agriculture,Consumer Safety,Science,Drugs,Food Safety,Animals",2013-10-09
"http://data.gesis.org/claimskg/creative_work/0725226f-db4b-5859-81b4-c32afb497d89","http://www.politifact.com/wisconsin/statements/2012/mar/05/scott-walker/wisconsin-badger-state-because-early-miners-gov-sc/","Scott Walker","Wisconsin is called the Badger State because 'our ancestors came here with the hopes of living the American dream by mining.'","Wisconsin is """"Badger State"""" because of early miners, Gov. Scott Walker says","Jobs,History",2012-02-23
"http://data.gesis.org/claimskg/creative_work/43ba25fc-8674-55df-b15b-7fee8bc2ee70","http://www.politifact.com/truth-o-meter/statements/2018/jun/18/environmental-protection-agency/are-greenhouse-emissions-down-under-donald-trump-e/","Environmental Protection Agency","'The science is clear, under President Trump greenhouse gas emissions are down.'","Are greenhouse emissions down under Donald Trump, as EPA says?","Energy",2018-06-13
"http://data.gesis.org/claimskg/creative_work/7115721a-4124-52fa-acff-5d89dae9a229","http://www.politifact.com/florida/statements/2017/apr/21/edward-markey/trump-wants-expand-oil-drilling-despite-congress-n/","Edward Markey","'Trump looking to open up E Coast & new areas for offshore oil drilling when Congress has passed no new safety standards since BP'","Trump wants to expand oil drilling despite Congress not adding safety rules, Senator says","Oil Spill",2017-04-20
"http://data.gesis.org/claimskg/creative_work/48c42e7b-8d98-514f-8607-380d611a9e7b","http://www.politifact.com/truth-o-meter/statements/2009/dec/12/james-inhofe/inhofe-claims-cru-e-mails-debunk-science-behind-cl/","James Inhofe","The Climatic Research Unit e-mails show that the science behind climate change 'has been pretty well debunked.'","Inhofe claims that e-mails 'debunk' science behind climate change","Climate Change",2009-12-07
"http://data.gesis.org/claimskg/creative_work/f5867b6c-0bb5-557e-a0db-1b76d1098248","http://www.politifact.com/truth-o-meter/statements/2014/jun/13/put-alaska-first-pac/pac-ad-says-republican-senate-candidate-dan-sulliv/","Put Alaska First PAC","'It was Dan Sullivan who wrote a bill to cut Alaskans out of those decisions' about where they can hunt and fish.","PAC ad: Republican Senate candidate Sullivan wrote a bill to cut Alaskans out of hunting decisions","Congress,Negative Campaigning,Government regulation",2014-06-02
"http://data.gesis.org/claimskg/creative_work/a4e4f9df-9c1c-580a-9762-f9a1bf3405e8","http://www.politifact.com/punditfact/statements/2014/feb/13/ralph-reed/ralph-reed-says-alternatives-keystone-pipeline-are/","Ralph Reed","A government report shows that alternatives to the Keystone XL pipeline 'are worse' for the environment.","Ralph Reed says alternatives to Keystone pipeline are worse for environment","Climate Change,Energy",2014-02-03
"http://data.gesis.org/claimskg/creative_work/8fab9344-2c63-583c-93db-4d522ab09ed9","http://www.politifact.com/rhode-island/statements/2012/oct/22/david-cicilline/us-rep-david-cicilline-says-us-has-more-oil-rigs-o/","David Cicilline","'There are more oil rigs in operation in the United States than the rest of the world combined.'","U.S. Rep. David Cicilline says the U.S. has more oil rigs in operation than all other countries combined","Infrastructure,Federal Budget,Energy,Debt,Corporations,Government regulation,Gas Prices",2012-10-16
"http://data.gesis.org/claimskg/creative_work/3b2a4835-b2c2-591d-ad6d-e63e50d1a001","http://www.politifact.com/facebook-fact-checks/statements/2019/may/17/viral-image/no-deer-covered-tumors-viral-photo-was-not-caused-/","Viral image","Says a deer became 'riddled with tumors from eating plants sprayed with Monsanto’s Roundup.'","Tumors on deer in viral photo were not caused by Monsanto’s Roundup","Science,Animals,Fake news",2019-05-08
"http://data.gesis.org/claimskg/creative_work/d8003eec-34f9-55f0-8a81-524c7e63c42e","http://www.politifact.com/truth-o-meter/statements/2011/dec/21/restore-our-future/attack-ad-says-newt-gingrich-aligned-dems-global-w/","Restore Our Future","Newt Gingrich 'teamed with Nancy Pelosi and Al Gore on global warming.'","Attack ad says Newt Gingrich aligned with Dems on global warming","Climate Change,Message Machine 2012",2011-12-14
"http://data.gesis.org/claimskg/creative_work/b14cf25d-7afa-5992-91cd-4db495ac2ede","http://www.politifact.com/california/statements/2018/nov/12/donald-trump/trumps-overly-simplistic-and-false-claim-californi/","Donald Trump","'There is no reason for these massive, deadly and costly forest fires in California except that forest management is so poor.'","Trump’s overly simplistic and false claim on California’s wildfires","State government spending,Federal Budget,Fires",2018-11-10
"http://data.gesis.org/claimskg/creative_work/f6c083b8-5287-50bd-b1b7-5310c5f950eb","http://www.politifact.com/georgia/statements/2011/dec/14/curtis-foltz/claim-savannah-ports-impact-environment-can-clearl/","Curtis Foltz","'The study of the Savannah River Estuary . . . clearly demonstrates the project can be constructed and [environmental] impacts will be mitigated.'","Claim: Savannah ports impact on environment can """"clearly"""" be mitigated","Transportation",2011-11-08
"http://data.gesis.org/claimskg/creative_work/1f71d4ee-6bf7-5d98-a1b4-7bb61ba25163","http://www.politifact.com/ohio/statements/2011/aug/08/tim-grendell/state-sen-tim-grendell-claims-more-water-flows-lak/","Tim Grendell","'You might be surprised to know that 137 billion gallons flows (into Lake Erie) every day. You might be surprised to know that only 86.3 billion gallons flow out. ... Leaving us a net surplus of approximately 50 billion gallons a day.'","State Sen. Tim Grendell claims more water flows into Lake Erie than flows out","Water",2011-06-28
"http://data.gesis.org/claimskg/creative_work/465f20ab-300a-5b6c-b3aa-3041b9fd7478","http://www.politifact.com/wisconsin/statements/2016/aug/12/ron-johnson/no-climate-warming-quite-few-years-gop-sen-ron-joh/","Ron Johnson","'The climate hasn't warmed in quite a few years. That is proven scientifically.'","No climate warming in quite a few years, Sen. Ron Johnson says -- but records were set in 2014, 2015","Climate Change,Weather",2016-08-01
"http://data.gesis.org/claimskg/creative_work/b8a168bb-8442-5dce-9fe5-3f6b8bb975c0","http://www.politifact.com/wisconsin/statements/2015/oct/09/league-conservation-voters/environmental-group-claims-ron-johnson-voted-again/","League of Conservation Voters","Says U.S. Sen. Ron Johnson 'led the fight to let polluters release unlimited amounts of carbon pollution and took nearly $225,000 from polluters.'","Environmental group claims Ron Johnson voted against carbon limits, took cash from polluters","Government regulation",2015-09-01
"http://data.gesis.org/claimskg/creative_work/a1630ba9-a7cb-5ce8-a06a-dc60a142aae3","http://www.politifact.com/texas/statements/2011/feb/10/tom-delay/tom-delay-says-foreman-jury-convicted-him-was-gree/","Tom DeLay","Says the foreman of the jury that convicted him was a Greenpeace activist.","Tom DeLay says foreman of the jury that convicted him was a Greenpeace activist","Bipartisanship,Criminal Justice",2011-01-13
"http://data.gesis.org/claimskg/creative_work/fa4d77f9-9e48-58a9-abca-892b75ec968e","http://www.politifact.com/truth-o-meter/statements/2013/aug/16/organizing-action/group-backing-barack-obama-says-marco-rubio-climat/","Organizing for Action","Sen. Marco Rubio 'refuses to accept the basic science' on climate change and is 'a climate change denier.'","Group backing Barack Obama says Marco Rubio is a """"climate change denier""""","Climate Change,Science",2013-08-09
"http://data.gesis.org/claimskg/creative_work/84308e3a-bc32-5162-ab3d-650bdaef28eb","http://www.politifact.com/florida/statements/2012/may/24/don-gaetz/tv-ad-don-gaetz-distorts-debate-over-septic-tank-i/","Don Gaetz","Says he fought for the repeal of a septic tank inspection program after 'Tallahassee pulled a fast one.'","In TV ad, Don Gaetz distorts debate over septic tank inspections","Message Machine 2012",2012-05-18
