"claim","review_url","claimer","text","headline","keywords","claim_date"
"http://data.gesis.org/claimskg/creative_work/5ddb378a-da72-5689-ad8d-feebe2bea7ef","http://www.politifact.com/rhode-island/statements/2012/feb/07/chain-email/home-sales-tax-e-mail-surfaces-again/","Chain email","'If you sell your house after 2012 you will pay a 3.8 percent sales tax on it.'","Home """"sales tax"""" e-mail surfaces again","Income,Retirement,Housing",2012-02-02
"http://data.gesis.org/claimskg/creative_work/c879c5eb-5409-5e52-b9e4-271f108e28d7","http://www.politifact.com/punditfact/statements/2015/may/13/ron-fournier/mike-huckabee-and-diabetes-cure-he-endorsed-no-hea/","Ron Fournier","Says Mike Huckabee appeared in diabetes infomercials to endorse 'cures and treatments that no health agency supports.'","Mike Huckabee and the diabetes cure he endorsed that 'no health agency supports'","Science,Candidate Biography",2015-05-10
"http://data.gesis.org/claimskg/creative_work/ea307714-8888-52fa-8fdc-2f635ef2fdb3","http://www.politifact.com/florida/statements/2014/may/29/dont-let-florida-go-pot/less-5-percent-registered-users-states-allowing-me/","Don't Let Florida Go To Pot","'Less than 5 percent of registered users in states allowing medical marijuana have cancer or AIDS.'","Less than 5 percent of medical marijuana users have cancer or AIDS, opposition group says","Marijuana",2014-05-20
"http://data.gesis.org/claimskg/creative_work/1b28db3a-6612-56a1-a01f-7e980248e693","http://www.politifact.com/ohio/statements/2013/feb/14/keith-faber/ohio-senate-president-keith-faber-says-ohio-among-/","Keith Faber","'Ohio companies export more goods and services globally than 41 other states.'","Ohio Senate President Keith Faber says Ohio is among the leading states in exports","Income,Workers,Labor",2013-02-04
"http://data.gesis.org/claimskg/creative_work/f41f755d-97e5-5963-b810-7ab12df52018","http://www.politifact.com/florida/statements/2012/jul/11/american-commitment/health-care-law-largest-tax-increase-history-middl/","American Commitment","The health care law 'imposes the largest tax increase in history on the middle class.'","Health care law """"largest tax increase in history on the middle class,"""" says TV ad","Message Machine 2012",2012-07-10
"http://data.gesis.org/claimskg/creative_work/06d7959e-ebe6-56c4-b9fc-2ca7a552f81c","http://www.politifact.com/oregon/statements/2014/feb/06/monica-wehby/are-people-having-shrink-back-their-businesses-bec/","Monica Wehby","Some businesses in Oregon 'are having to shrink back their businesses as a result of the law.'","Are people having to shrink back their businesses because of Obamacare?","Corrections and Updates",2014-01-10
"http://data.gesis.org/claimskg/creative_work/c918f489-beaf-5af4-b04a-e5b10eaf8851","http://www.politifact.com/florida/statements/2017/jun/28/michael-needham/are-medicaid-patients-more-likely-die-uninsured-he/","Michael Needham","'Actually, on some procedures, you're more likely to die if you're on Medicaid than if you're uninsured.'","Are Medicaid patients more likely to die than uninsured, as Heritage Action CEO says?","Medicaid",2017-06-25
"http://data.gesis.org/claimskg/creative_work/06070689-13ef-56c8-bfe2-42a85d038140","http://www.politifact.com/texas/statements/2013/apr/01/rick-perry/rick-perry-says-only-three-10-texas-physicians-acc/","Rick Perry","'Only three in 10 Texas doctors are currently accepting new Medicaid patients.'","Rick Perry says only three in 10 Texas physicians accept new Medicaid patients","Federal Budget,Medicaid,State Budget",2013-04-01
"http://data.gesis.org/claimskg/creative_work/7bb6ef4f-048c-599b-9f84-cc1066de970c","http://www.politifact.com/truth-o-meter/statements/2010/jan/28/nancy-pfotenhauer/health-care-reform-does-not-increase-premiums-and-/","Nancy Pfotenhauer","The president's health care proposals will cause 'most Americans to have their premiums increased, not decreased, and hundreds of millions of people lose their current insurance coverage.'","Health care reform does not increase premiums and boot people out of their coverage","Pundits",2010-01-27
"http://data.gesis.org/claimskg/creative_work/171a1847-c7e0-5545-aaa2-6036cc8b4405","http://www.politifact.com/wisconsin/statements/2014/apr/06/scott-walker/scott-walker-says-recent-wisconsin-poll-shows-70-a/","Scott Walker","A poll taken 'a few months ago' found '70 percent approval or higher' for the Act 10 collective bargaining law.","Scott Walker says recent Wisconsin poll shows 70% approval for collective bargaining law that led to massive protests, recall election","State Finances,City Government,County Government,Polls and Public Opinion,Unions,Pensions,State Budget",2014-04-01
