"claim","review_url","claimer","text","headline","keywords","claim_date"
"http://data.gesis.org/claimskg/creative_work/47596239-dd5e-545a-88ff-219db38a8240","http://www.politifact.com/truth-o-meter/statements/2018/oct/30/donald-trump/donald-trump-falsely-claims-democrats-oppose-any-e/","Donald Trump","'Democrats oppose any effort to secure our border.'","Donald Trump falsely claims Democrats 'oppose any effort to secure our border'","Homeland Security",2018-10-24
"http://data.gesis.org/claimskg/creative_work/52a1999e-5b6a-5c8b-b9d3-b29cc2262bf2","http://www.politifact.com/truth-o-meter/statements/2018/jul/09/donald-trump/did-ice-liberate-towns-donald-trump-claimed-have-w/","Donald Trump","'I have watched ICE liberate towns from the grasp of MS-13.'","Donald Trump falsely says ICE liberated towns from MS-13 control","Homeland Security,Crime",2018-06-30
"http://data.gesis.org/claimskg/creative_work/4a48242b-e51f-5489-8e90-66fc4ab6b1e1","http://www.politifact.com/truth-o-meter/statements/2010/may/04/jan-brewer/arizona-immigration-law-rewrite-lays-rest-worries-/","Jan Brewer","Late changes to the Arizona immigration law 'lay to rest questions over the possibility of racial profiling.'","Arizona immigration law rewrite 'lays to rest' worries about racial profiling, Brewer says","Legal Issues",2010-04-30
"http://data.gesis.org/claimskg/creative_work/d4272d4f-92c6-5052-8053-393f78fad99f","http://www.politifact.com/truth-o-meter/statements/2016/oct/20/hillary-clinton/hillary-clinton-correctly-claims-trump-tower-was-p/","Hillary Clinton","Says Donald Trump 'used undocumented labor to build the Trump Tower.'","Hillary Clinton correctly claims that Trump Tower was in part built by undocumented workers","Candidate Biography",2016-10-20
"http://data.gesis.org/claimskg/creative_work/a1f4d315-1968-5df4-a6cd-a3011c2c9f17","http://www.politifact.com/texas/statements/2016/jun/17/joaquin-castro/joaquin-castro-trump-san-antonio-60-percent-mexica/","Joaquin Castro","'@realDonaldTrump is coming to San Antonio, which is 60% Mexican-AMERICAN.'","Joaquin Castro to Trump: San Antonio is 60 percent Mexican-American - Mostly True","Elections,Civil Rights",2016-06-06
"http://data.gesis.org/claimskg/creative_work/f172b632-0022-5baf-a992-c4c25af3de22","http://www.politifact.com/facebook-fact-checks/statements/2018/dec/04/puppetstringnewscom/misleading-headline-claims-thousands-caravan-migra/","PuppetStringNews.com","Says '2,267 caravan invaders have tuberculosis, HIV, chickenpox and other health issues'","Misleading headline claims thousands of caravan migrants have HIV, tuberculosis, other diseases","Homeland Security,Fake news",2018-11-29
"http://data.gesis.org/claimskg/creative_work/edd9fbcc-2dfc-5b4d-a641-c00a63a79e21","http://www.politifact.com/truth-o-meter/statements/2018/jul/02/jeff-sessions/jeff-sesssions-false-claim-80-percent-asylum-appli/","Jeff Sessions","'Our courts find that 80 percent of those who do file for asylum aren’t qualified for it, do not merit that relief.'","Jeff Sessions' false claim that 80 percent of asylum applications are without merit","Homeland Security",2018-06-25
"http://data.gesis.org/claimskg/creative_work/1fe0f561-3015-54c5-a560-da9cdaf392f3","http://www.politifact.com/truth-o-meter/statements/2009/jun/15/mike-murphy/jose-no-1-baby-name-texas-social-security-administ/","Mike Murphy","In Texas, 'the No. 1 name for new male babies — many of whom will vote one day — is Jose.'","Jose is No. 1 baby name in Texas — Social Security Administration says so","Elections,Pundits",2009-06-12
"http://data.gesis.org/claimskg/creative_work/137fdb90-3b6b-540e-9742-26e236ed6352","http://www.politifact.com/florida/statements/2012/jan/25/mitt-romney/spanish-language-ad-says-newt-gingrich-said-spanis/","Mitt Romney","Says Newt Gingrich said 'Spanish is the language of the ghetto.'","Spanish-language ad says Newt Gingrich said Spanish is """"the language of the ghetto""""","Elections,Message Machine 2012",2012-01-25
"http://data.gesis.org/claimskg/creative_work/2ab054a2-90f3-5ce0-805d-1d356069805f","http://www.politifact.com/truth-o-meter/statements/2017/sep/15/dave-brat/rep-dave-brats-false-claim-about-daca-chain-migrat/","Dave Brat","'So the number on DACA is 800,000, but every one person can bring in their entire extended family once they reach a certain status. So it's 3 or 4 million, right?'","Rep. Dave Brat claims DACA leads to chain migration of up to 4 million. That's False","Homeland Security",2017-09-07
"http://data.gesis.org/claimskg/creative_work/62272425-bdfd-54a5-8367-5be4aa3d5c80","http://www.politifact.com/texas/statements/2015/dec/11/bryan-hughes/bryan-hughes-mostly-wrong-about-david-simpson-voti/","Bryan Hughes","'David Simpson actually voted for driver's licenses for illegal immigrants.'","Bryan Hughes mostly wrong about David Simpson voting for driver's licenses for 'illegal immigrants'","Transportation,Voting Record",2015-12-01
"http://data.gesis.org/claimskg/creative_work/fb1c5fa5-a9d2-55c2-b4b4-e4131071edd1","http://www.politifact.com/truth-o-meter/statements/2015/oct/04/donald-trump/donald-trump-syrian-refugees-are-mostly-men/","Donald Trump","Among Syrian refugees, 'there aren't that many women, there aren't that many children.'","Donald Trump: Syrian refugees potentially headed to U.S. are mostly men","Foreign Policy",2015-10-04
"http://data.gesis.org/claimskg/creative_work/4de914d5-e5c3-5d56-a2ea-30184515e532","http://www.politifact.com/truth-o-meter/statements/2015/apr/17/america/meme-compares-spending-undocumented-immigrants-typ/","ForAmerica","'American families work hard to earn $4,250 a month. Obama is spending $18,972 a month on each illegal immigrant child.'","Meme compares spending on undocumented immigrants with typical U.S. family income","Federal Budget",2015-04-12
"http://data.gesis.org/claimskg/creative_work/34d22add-6d8f-5cd1-ac5d-f84ee7f24727","http://www.politifact.com/truth-o-meter/statements/2018/aug/16/dean-heller/did-nevadas-jacky-rosen-skip-key-veterans-vote-pho/","Dean Heller","Says Jacky Rosen 'skipped work ... at the expense of veterans' to 'attend a publicity stunt.'","Did Nevada's Jacky Rosen skip a key veterans vote for a photo op? Not so fast","Veterans",2018-06-26
"http://data.gesis.org/claimskg/creative_work/5df84795-4870-55f2-9d22-5d659bfb3504","http://www.politifact.com/texas/statements/2014/apr/08/jerry-patterson/jerry-patterson-flew-solo-among-statewide-elected-/","Jerry Patterson","Says he was the only statewide elected official to speak in favor of a federal guest worker plan at the 2012 Republican Party of Texas convention.","Jerry Patterson flew solo among statewide elected officials by advocating guest-worker plank in 2012 state party platform","Workers",2014-03-30
"http://data.gesis.org/claimskg/creative_work/198408a4-4c79-52d3-b23e-fd446b004c22","http://www.politifact.com/florida/statements/2012/jan/24/newt-gingrich/newt-gingrich-miami-dade-college-students-speak-86/","Newt Gingrich","There are 86 languages spoken at Miami Dade College.","Newt Gingrich says Miami Dade College students speak 86 languages","Diversity",2012-01-23
"http://data.gesis.org/claimskg/creative_work/cc1638ed-2101-5394-b3b3-c0dab6467067","http://www.politifact.com/north-carolina/statements/2019/jan/24/richard-hudson/defending-trumps-request-wall-funding-congressman-/","Richard Hudson","Says Democrats want to give $54 billion in foreign aid, and Trump is only asking for 10 percent of that 'to secure our border and build a wall.","Defending Trump's request for wall funding, congressman inflates foreign aid plan","Foreign Policy",2019-01-08
"http://data.gesis.org/claimskg/creative_work/e20d5367-6545-53cb-bc81-fc42b35f33b4","http://www.politifact.com/facebook-fact-checks/statements/2019/mar/12/blog-posting/fact-checking-claim-about-kansas-city-chiefs-stadi/","Bloggers","'In February alone there were enough illegal immigrants who crossed the border to fill this (Kansas City Chiefs’ Arrowhead) stadium.'","Fact-checking claim about Kansas City Chiefs' stadium, illegal immigration","Homeland Security,Sports",2019-03-11
"http://data.gesis.org/claimskg/creative_work/8200411f-3726-5ee0-a74e-af0c52d50a9e","http://www.politifact.com/punditfact/statements/2014/dec/02/peter-morici/economist-immigrants-have-taken-all-new-jobs-creat/","Peter Morici","Immigrants 'have captured all of the nearly 9 million jobs created since 2000.'","Economist: Immigrants have taken all new jobs created since 2000","Jobs",2014-12-07
"http://data.gesis.org/claimskg/creative_work/c8790738-1c7e-5966-a1c1-bc0da50ef4bf","http://www.politifact.com/global-news/statements/2017/mar/13/keith-ellison/ellison-says-travel-ban-will-hurt-somalis-fleeing-/","Keith Ellison","Says President Donald Trump's travel ban could ban Somalis 'from getting relief (from famine) through coming to the United States.'","Ellison says travel ban will hurt Somalis fleeing famine","Hunger,Foreign Policy",2017-03-07
"http://data.gesis.org/claimskg/creative_work/d7ef33a7-2890-5a5e-9993-a6de18b26053","http://www.politifact.com/truth-o-meter/statements/2018/jul/03/corey-stewart/corey-stewart-falsely-claims-sen-tim-kaine-wants-d/","Corey Stewart","'Tim Kaine doesn’t want a border at all. He wants to get rid of Immigration and Customs Enforcement and basically the border patrol as well.'","Corey Stewart falsely claims Sen. Tim Kaine wants to do away with ICE, border patrol","Homeland Security",2018-06-30
"http://data.gesis.org/claimskg/creative_work/5cd73a7c-d1b7-5531-9d10-6ec5f8955c01","http://www.politifact.com/truth-o-meter/statements/2018/oct/02/senate-leadership-fund/gop-super-pac-ad-skips-over-jacky-rosens-yes-vote-/","Senate Leadership Fund","Says Jacky Rosen 'voted against stopping criminals from re-entering the United States.'","GOP super PAC ad skips over Jacky Rosen's yes vote on criminal immigrant bill","Crime",2018-09-25
"http://data.gesis.org/claimskg/creative_work/8ce1bf9a-33f1-5a16-9581-21fc60444ff9","http://www.politifact.com/wisconsin/statements/2010/nov/01/ron-johnson/ron-johnson-says-us-sen-russ-feingold-voted-give-s/","Ron Johnson","Says Russ Feingold voted to give Social Security benefits to illegal immigrants","Ron Johnson says U.S. Sen. Russ Feingold voted to give Social Security benefits to illegal immigrants","Message Machine 2010",2010-10-29
"http://data.gesis.org/claimskg/creative_work/ba26dc14-32eb-5fca-804d-5e9644d6484b","http://www.politifact.com/california/statements/2019/feb/20/tom-mcclintock/rep-tom-mcclintock-distorts-number-homicides-undoc/","Tom McClintock","'In 2017, illegal aliens murdered 1,800 Americans.'","Rep. Tom McClintock distorts number of homicides by undocumented immigrants","Crime,Public Safety",2019-01-29
"http://data.gesis.org/claimskg/creative_work/abf325a7-4f97-5843-8b89-7a1695dcbc84","http://www.politifact.com/california/statements/2019/jun/28/kamala-harris/fact-check-did-kamala-harris-really-disagree-obama/","Kamala Harris","Says 'I disagreed' with President Obama’s Secure Communities deportation program","FACT CHECK: Did Kamala Harris really disagree with Obama’s deportation policy?","Border Security,Crime",2019-06-27
"http://data.gesis.org/claimskg/creative_work/5c59338e-40c1-535d-a2cc-d028bdd0c5b5","http://www.politifact.com/florida/statements/2013/feb/18/marco-rubio/marco-rubio-said-weve-always-needed-foreign-worker/","Marco Rubio","'Agriculture has always required a significant workforce from abroad.'","Marco Rubio says we've always needed foreign workers for farming","Agriculture,Workers,History",2013-01-30
"http://data.gesis.org/claimskg/creative_work/6e9e9269-e6fa-5cdd-8ebb-b0987d45c703","http://www.politifact.com/florida/statements/2017/aug/30/matt-gaetz/gaetz-misleads-claim-about-immigrants-crime/","Matt Gaetz","'As of 2014, illegal aliens made up roughly 3.5 percent of our population, and committed over 10 percent of all murders.'","Gaetz misleads in claim about immigrants, crime","Crime,Public Safety",2017-08-18
"http://data.gesis.org/claimskg/creative_work/21022ae2-1f8b-5242-bf54-597981d8b15e","http://www.politifact.com/punditfact/statements/2018/jun/25/blog-posting/mexico-presidential-candidate-call-immigration/","Bloggers","'Mexico’s Next President Calls for An Invasion Of The US'","No, Mexico’s presidential candidate didn't call for mass migration to the United States","Fake news",2018-06-25
"http://data.gesis.org/claimskg/creative_work/135d085d-723b-50c9-96bf-896efb7d6c5c","http://www.politifact.com/texas/statements/2015/jun/05/gary-painter/west-texas-sheriff-says-us-only-nation-not-use-mil/","Gary Painter","'We’re the only nation in the world that does not use the military to secure our border.'","West Texas sheriff says U.S. only nation not to use military to secure 'our border'","Homeland Security,Military",2015-05-10
"http://data.gesis.org/claimskg/creative_work/4ae5746b-bca0-5299-9dcd-81492ecc5bed","http://www.politifact.com/texas/statements/2014/jul/25/glenn-beck/glenn-beck-says-9-year-old-girl-raped-austin-man-p/","Glenn Beck","Says a 9-year-old girl was recently raped in Austin, Texas, by a guy previously 'caught four times and released.'","Glenn Beck says 9-year-old girl raped in Austin by man previously released four times","Children,Crime,Criminal Justice",2014-07-17
"http://data.gesis.org/claimskg/creative_work/b247ff62-340b-5703-8157-fc45f8fdfb5b","http://www.politifact.com/punditfact/statements/2018/may/14/breaking-dawn/headline-exaggerates-appointment-undocumented-immi/","The Breaking Dawn","'It begins: California appoints first illegal alien to state office.'","Headline exaggerates appointment of undocumented immigrant in California","Fake news",2018-05-10
"http://data.gesis.org/claimskg/creative_work/3a04e93e-df2c-5ed4-8033-f8f4cb7e4b43","http://www.politifact.com/nbc/statements/2016/jun/18/donald-trump/donald-trump-wrong-theres-no-real-assimilation-us-/","Donald Trump","Even among 'second and third generation' Muslims in the United States, 'there's no real assimilation.'","Donald Trump wrong that 'there's no real assimilation' by U.S. Muslims","Religion,Diversity",2016-06-15
"http://data.gesis.org/claimskg/creative_work/803cc1e3-de6a-5f97-be88-c8826448d2bc","http://www.politifact.com/punditfact/statements/2015/feb/17/laura-ingraham/ingraham-says-sotomayor-comes-immigrant-family/","Laura Ingraham","Says Supreme Court Justice Sonia Sotomayor has an 'immigrant family background.'","Sonia Sotomayor's family is from Puerto Rico, not 'immigrant family'","Corrections and Updates",2014-02-04
"http://data.gesis.org/claimskg/creative_work/786a53a6-5b5e-508a-9719-ab0671e50bf6","http://www.politifact.com/truth-o-meter/statements/2019/jan/04/donald-trump/no-usmca-trade-deal-wont-pay-border-wall-despite-d/","Donald Trump","'Mexico is paying for the Wall through the new USMCA Trade Deal.'","No, Mexico isn't paying for border wall through USMCA trade deal, despite Donald Trump's claims","Homeland Security,Trade,Corrections and Updates",2019-01-02
"http://data.gesis.org/claimskg/creative_work/7d5af25e-ba05-5739-85db-28e07577520f","http://www.politifact.com/truth-o-meter/statements/2017/apr/11/mike-rogers/alabama-lawmaker-makes-half-true-claim-about-remit/","Mike Rogers","'In 2014, Mexico alone received over $24 billion in remittances sent from the U.S., while other South and Central American countries received over 15 percent of their (gross domestic product) in the form of remittances.'","Congressman proposes new tax on remittances to pay for Trump's border wall. We checked his numbers","Homeland Security",2017-03-30
"http://data.gesis.org/claimskg/creative_work/c42267e3-f7c9-59b9-89b6-7c7ca1be68a3","http://www.politifact.com/florida/statements/2012/aug/09/heather-fiorentino/heather-fiorentino-said-kurt-browning-allowed-1800/","Heather Fiorentino","As Florida secretary of state, Kurt Browning 'allowed 1,800 illegal voters to register in Florida.'","Heather Fiorentino said Kurt Browning """"allowed 1,800 illegal voters to register in Florida""""","Elections,Message Machine 2012",2012-08-07
"http://data.gesis.org/claimskg/creative_work/4557af51-b801-542b-87e6-faef3f4aa82e","http://www.politifact.com/texas/statements/2011/dec/16/rick-perry/rick-perry-says-federal-government-catches-and-rel/","Rick Perry","Says the Obama administration catches and releases nonviolent illegal immigrants.","Rick Perry says the federal government catches and releases non-violent violators of immigration laws","Crime,Criminal Justice",2011-12-10
"http://data.gesis.org/claimskg/creative_work/4300b906-3a42-515a-a000-51cce35f3568","http://www.politifact.com/virginia/statements/2014/apr/21/robert-sarvis/robert-sarvis-says-us-population-growing-slowest-r/","Robert Sarvis","'Did you know US population growth is at its lowest since the Great Depression?'","Robert Sarvis says U.S. population is growing at slowest rate since Great Depression","Population",2014-03-31
"http://data.gesis.org/claimskg/creative_work/63015f2d-0b6f-5e51-8878-ce01391d0779","http://www.politifact.com/truth-o-meter/statements/2014/oct/28/facebook-posts/viral-meme-says-1956-republican-platform-was-prett/","Facebook posts","Says the 1956 Republican Party platform supported equal pay, the minimum wage, asylum for refugees, protections for unions and more.","Viral meme says 1956 Republican platform was pretty liberal","Workers,Women,Unions,Poverty,Social Security",2014-10-28
"http://data.gesis.org/claimskg/creative_work/89e21c69-db30-59a9-b5fc-f747c2bd12f8","http://www.politifact.com/florida/statements/2019/feb/13/matt-gaetz/matt-gaetz-said-democrats-platform-once-said-illeg/","Matt Gaetz","'In 1992, the Democratic Party had in their platform provisions that said that illegal aliens were coming in this country, committing felonies, sent back and then they were right back across the border to do the same thing.'","Matt Gaetz said Democrats' platform once said illegal immigrants were committing felonies","Guns,Crime",2019-02-07
"http://data.gesis.org/claimskg/creative_work/a1ffb3b0-09bb-5f85-b442-7dd5ebb7b9bd","http://www.politifact.com/truth-o-meter/statements/2016/aug/26/hillary-clinton/hillary-clinton-citing-trump-effect-says-teachers-/","Hillary Clinton","'Parents and teachers are already worrying about what they call the ‘Trump Effect.’ They report that bullying and harassment are on the rise in our schools, especially targeting students of color, Muslims and immigrants.'","Hillary Clinton, citing 'Trump Effect,' says teachers are reporting more bullying in schools","Islam",2016-08-25
