"claim","review_url","claimer","text","headline","keywords","claim_date"
"http://data.gesis.org/claimskg/creative_work/3de0e251-27fa-5f61-9266-d1948203cc58","http://www.politifact.com/new-hampshire/statements/2014/jul/23/club-growth/club-growth-says-nh-gas-tax-enacted-when-prices-we/","Club for Growth","When the New Hampshire Legislature raised the gasoline tax, gas prices in the state were 'skyrocketing.'","Club for Growth says N.H. gas tax enacted when prices were 'skyrocketing'","Energy",2014-07-21
"http://data.gesis.org/claimskg/creative_work/269e40f8-4256-5d1f-b2f3-be02fafd3b63","http://www.politifact.com/florida/statements/2010/mar/17/citizens-lower-taxes-and-stronger-economy/voter-control-over-land-use-issues-has-cost-st-pet/","Citizens for Lower Taxes and a Stronger Economy","Because of a local version of Amendment 4, 'the taxpayers of St. Pete Beach have had to pay hundreds of thousands in legal bills.'","Voter control over land use issues has cost St. Pete Beach 'hundreds of thousands' in legal bills, group claims","Florida Amendments",2010-03-10
"http://data.gesis.org/claimskg/creative_work/dd0286bf-4a70-58e5-bb96-afa5caa2ce18","http://www.politifact.com/truth-o-meter/statements/2014/apr/03/kentucky-opportunity-coalition/pro-mcconnell-group-says-estate-tax-makes-it-hard-/","Kentucky Opportunity Coalition","Says the estate tax is a threat to family farms.","Pro-McConnell group says the estate tax makes it hard for family farms to survive","Agriculture",2014-04-01
"http://data.gesis.org/claimskg/creative_work/b45ee751-d9b3-5248-b27f-e40a426c9f19","http://www.politifact.com/truth-o-meter/statements/2011/dec/28/barack-obama/obama-campaign-says-half-benefit-newt-gingrichs-ta/","Barack Obama","'Fifty percent of Speaker Gingrich’s tax plan goes to the top 1 percent.'","Obama campaign says half of the benefit from Newt Gingrich's tax plan goes to top 1 percent","New Hampshire 2012",2011-12-20
"http://data.gesis.org/claimskg/creative_work/f41f755d-97e5-5963-b810-7ab12df52018","http://www.politifact.com/florida/statements/2012/jul/11/american-commitment/health-care-law-largest-tax-increase-history-middl/","American Commitment","The health care law 'imposes the largest tax increase in history on the middle class.'","Health care law """"largest tax increase in history on the middle class,"""" says TV ad","Message Machine 2012",2012-07-10
"http://data.gesis.org/claimskg/creative_work/171a1847-c7e0-5545-aaa2-6036cc8b4405","http://www.politifact.com/wisconsin/statements/2014/apr/06/scott-walker/scott-walker-says-recent-wisconsin-poll-shows-70-a/","Scott Walker","A poll taken 'a few months ago' found '70 percent approval or higher' for the Act 10 collective bargaining law.","Scott Walker says recent Wisconsin poll shows 70% approval for collective bargaining law that led to massive protests, recall election","State Finances,City Government,County Government,Polls and Public Opinion,Unions,Pensions,State Budget",2014-04-01
"http://data.gesis.org/claimskg/creative_work/f9053888-8fcb-5049-9aa0-7ee82cfa69c4","http://www.politifact.com/ohio/statements/2010/sep/15/john-kasich/john-kasich-says-ohio-one-most-taxed-states/","John Kasich","'You can’t raise taxes in Ohio. We are one of the highest taxed states in the country.'","John Kasich says Ohio is one of the most taxed states","Message Machine 2010",2010-08-22
"http://data.gesis.org/claimskg/creative_work/9ad86242-b7ad-5c30-bc8e-350e27952b62","http://www.politifact.com/texas/statements/2010/jan/22/kay-bailey-hutchison/hutchison-says-revised-business-tax-created-states/","Kay Bailey Hutchison","“The largest tax increase that we have ever had in our state is yours – it is the business margins tax that you signed, governor.”","Hutchison says revised business tax created state's largest tax increase","Corporations,Small Business",2010-01-14
"http://data.gesis.org/claimskg/creative_work/d8addc30-265f-516c-b558-bb376761e934","http://www.politifact.com/truth-o-meter/statements/2009/oct/28/chain-email/chain-e-mail-claims-obama-handing-out-free-cell-ph/","Chain email","A new federal program provides subsidized 'Obama phones' with 70 free minutes of cell phone service every month.","Chain e-mail claims Obama is handing out free cell phones to the needy","Poverty",2009-10-28
"http://data.gesis.org/claimskg/creative_work/39ef35eb-9ce2-5a7a-af48-a2f33756a787","http://www.politifact.com/texas/statements/2015/may/05/van-taylor/van-taylor-says-texas-senate-sent-largest-tax-cut-/","Van Taylor","I 'helped pass what, if enacted, would be the largest tax cut in Texas history through the State Senate.'","Van Taylor says Texas Senate sent largest tax cut in Texas history to House","State Finances,State Budget",2015-03-25
"http://data.gesis.org/claimskg/creative_work/c6012a41-0980-54d1-ad75-679d35738a32","http://www.politifact.com/truth-o-meter/statements/2012/jul/18/barack-obama/barack-obama-says-mitt-romney-received-carried-int/","Barack Obama","Says Mitt Romney’s carried interest income was a tax 'trick.'","Barack Obama says Mitt Romney received carried interest, a tax 'trick'","Message Machine 2012,Candidate Biography",2012-07-17
"http://data.gesis.org/claimskg/creative_work/ccc9692d-1257-56e3-a79c-36bc705a80b9","http://www.politifact.com/truth-o-meter/statements/2012/may/18/mitt-romney/mitt-romney-didnt-flip-flop-obama-stimulus/","Mitt Romney","On President Barack Obama’s stimulus","Did Mitt Romney flip-flop on the economic stimulus?","Stimulus,Federal Budget",2011-11-28
"http://data.gesis.org/claimskg/creative_work/5a082996-5726-5c6a-a24d-4f3d19f3deea","http://www.politifact.com/truth-o-meter/statements/2011/nov/21/john-kerry/john-kerry-says-simpson-bowles-proposal-raised-2-t/","John Kerry","Says the Simpson-Bowles deficit reduction proposal urged raising $2 trillion in new revenue.","John Kerry says Simpson-Bowles proposal raised $2 trillion in new revenues","Federal Budget",2011-11-20
"http://data.gesis.org/claimskg/creative_work/a1f06c13-1247-5ea6-846c-a15a17b4d5a7","http://www.politifact.com/truth-o-meter/statements/2010/feb/03/david-axelrod/axelrod-claims-democrats-passed-25-tax-cuts-last-y/","David Axelrod","'We passed without, frankly, the help of the Republican caucus, we passed 25 tax cuts last year, mostly aimed at the middle class and small businesses.'","Axelrod claims Democrats passed 25 tax cuts last year without the help of Republicans","Stimulus",2010-01-31
