id,claim,review_url,claimer,text,headline,keywords,claim_date,education,healthcare,immigration,environment,taxes,elections,crime
8,http://data.gesis.org/claimskg/creative_work/7d1edda9-fb56-584d-88ba-cde7307e311c,http://www.politifact.com/florida/statements/2010/feb/06/franklin-sands/florida-democrat-says-state-last-among-southeast-s/,Franklin Sands,Florida still averages more students in its classrooms than any other state in the Southeast.',Florida Democrat says state last among Southeast states in average class size,Florida,2010-01-29,1,0,0,0,0,0,0
9,http://data.gesis.org/claimskg/creative_work/ef5eca87-40cc-57cd-a2ae-96af7708c973,http://www.politifact.com/truth-o-meter/statements/2016/jul/21/mike-pence/mike-pence-stretches-claim-record-education-spendi/,Mike Pence,"Says as Indiana governor, he has made 'record investments in education.'",Mike Pence stretches claim of record education spending in Indiana at Republican convention,State Budget,2016-07-20,1,0,0,0,0,0,0
47,http://data.gesis.org/claimskg/creative_work/39e4db71-3e0b-5cc1-b024-913cc9adbabf,http://www.politifact.com/texas/statements/2016/oct/07/cocks-not-glocks/dildo-university-texas-class-could-lead-ticket-wou/,Cocks Not Glocks,You would receive a citation for taking a dildo to class' at the University of Texas.,"Dildo in University of Texas class could lead to a ticket, but would it? Uncertain","Guns,Regulation",2016-08-24,1,0,0,0,0,0,0
60,http://data.gesis.org/claimskg/creative_work/658d7580-d64c-505d-a2c9-67cc0642001d,http://www.politifact.com/truth-o-meter/statements/2014/jun/09/chain-email/did-barack-obama-sign-bill-forgive-all-outstanding/,Chain email,Obama Signs Bill Forgiving All Student Loan Debt.',Did Barack Obama sign a bill to forgive all outstanding student debt? No,Financial Regulation,2014-06-05,1,0,0,0,0,0,0
69,http://data.gesis.org/claimskg/creative_work/8426e929-eed1-5324-8b6a-eca6f8d754c4,http://www.politifact.com/wisconsin/statements/2013/aug/11/ron-johnson/average-college-degree-takes-six-years-us-sen-ron-/,Ron Johnson,"On average, college students 'are taking six years to get a four-year degree.'","On average, a college degree takes six years, U.S. Sen. Ron Johnson says","Debt,Jobs",2013-07-17,1,0,0,0,0,0,0
100,http://data.gesis.org/claimskg/creative_work/49c68e48-941e-5923-bf20-283e8b5a73a3,http://www.politifact.com/texas/statements/2012/sep/27/paul-sadler/paul-sadler-says-ted-cruz-pledges-shut-down-depart/,Paul Sadler,"Says Ted Cruz 'has pledged to eliminate' the U.S. Department of Education, which would end federal aid to college students.","Paul Sadler says Ted Cruz pledges to shut down Department of Education, which would shutter federal aid to college students",Federal Budget,2012-09-26,1,0,0,0,0,0,0
105,http://data.gesis.org/claimskg/creative_work/0fe078c1-d868-5a2d-a087-9eba3db76b66,http://www.politifact.com/wisconsin/statements/2017/may/17/scott-walker/testing-scott-walker-claim-record-education-findin/,Scott Walker,We are investing more money into education than ever before in the history of Wisconsin.',Testing Scott Walker claim on record education funding in Wisconsin,State Budget,2017-02-08,1,0,0,0,0,0,0
150,http://data.gesis.org/claimskg/creative_work/70ea4c5a-8864-5621-aadc-624e36e79f13,http://www.politifact.com/virginia/statements/2019/sep/24/sheila-bynum-coleman/contrary-bynum-coleman-cox-has-steadily-backed-tea/,Sheila Bynum-Coleman,Kirk 'Cox joined special interests to deny teachers raises.',"Contrary to Bynum-Coleman's ad , Cox has steadily backed teacher raises",Income,2019-09-05,1,0,0,0,0,0,0
154,http://data.gesis.org/claimskg/creative_work/9aff50be-29e1-5da9-8a21-7e6c122136c7,http://www.politifact.com/florida/statements/2015/mar/03/rick-scott/scott-calls-proposed-pupil-spending-historic/,Rick Scott,"Education funding of $7,176 per student is a 'historic level.'",Rick Scott calls proposed per pupil spending 'historic',State Budget,2015-03-03,1,0,0,0,0,0,0
170,http://data.gesis.org/claimskg/creative_work/653f0922-6506-5859-80c5-568561b8bd92,http://www.politifact.com/florida/statements/2017/mar/07/janet-cruz/how-much-does-florida-teacher-pay-lag-behind-natio/,Janet Cruz,"Florida pays our teachers $10,000 a year less than the national average.'","Florida teacher pay lags national average, just not quite by $10,000",Jobs,2017-03-07,1,0,0,0,0,0,0
185,http://data.gesis.org/claimskg/creative_work/42e878f5-e2e9-56db-aeab-9a849653f4dd,http://www.politifact.com/texas/statements/2014/jul/17/roberto-alonzo/latinos-not-yet-majority-texans/,Roberto Alonzo,Latinos now make up the majority population in Texas.',Latinos not (yet) majority of Texans,"Population,States,Legal Issues",2014-07-16,0,0,1,0,0,0,0
195,http://data.gesis.org/claimskg/creative_work/ad1ca188-b258-5a9d-aaab-4d5c99dd19fa,http://www.politifact.com/florida/statements/2012/jul/30/gerard-robinson/florida-education-commissioner-says-fcats-equal-le/,Gerard Robinson,FCAT tests 'account for less than 1 percent of the instructional time provided during the year.',"Florida education commissioner says the FCAT takes up """"less than 1 percent of the instructional time"""" during the school year","Children,Corrections and Updates",2012-06-15,1,0,0,0,0,0,0
207,http://data.gesis.org/claimskg/creative_work/a9f0431b-3c27-5389-a4a1-67609780ccd3,http://www.politifact.com/wisconsin/statements/2013/apr/14/robin-vos/wisconsin-assembly-speaker-robin-vos-says-1-4-scho/,Robin Vos,"In 2012, 1 in 4 Wisconsin schools had a subpar score on the Department of Public Instruction’s recent report cards' and are 'failing' the children they serve.",Wisconsin Assembly Speaker Robin Vos says 1 in 4 schools in the state are failing on DPI report cards,State Budget,2013-04-05,1,0,0,0,0,0,0
213,http://data.gesis.org/claimskg/creative_work/b7e4b0ab-7858-53d7-a6d3-35465e7945df,http://www.politifact.com/texas/statements/2012/dec/17/thomas-ratliff/thomas-ratliff-says-massachusetts-imposes-three-ma/,Thomas Ratliff,Says Massachusetts has three state-mandated student tests and Finland just one.,"UPDATED: Thomas Ratliff says Massachusetts imposes three mandatory student tests, Finland just one","States,Corrections and Updates",2012-12-10,1,0,0,0,0,0,0
226,http://data.gesis.org/claimskg/creative_work/d0cac91c-2777-511f-998b-e1565a2966f6,http://www.politifact.com/wisconsin/statements/2014/oct/29/greater-wisconsin-political-fund/did-scott-walker-oppose-proposal-refinancing-stude/,Greater Wisconsin Committee,Scott Walker opposed a plan to help Wisconsin students refinance their student loans.',Did Scott Walker oppose a proposal for refinancing student loans?,"Financial Regulation,Debt",2014-10-27,1,0,0,0,0,0,0
232,http://data.gesis.org/claimskg/creative_work/1888f2b6-54db-588e-891c-5ff846538288,http://www.politifact.com/wisconsin/statements/2011/jul/25/jennifer-shilling/wisconsin-jennifer-shilling-state-budget-cut-publi/,Jennifer Shilling,The 2011-13 state budget 'cuts overall funding for public schools by $1.6 billion',Wisconsin Rep. Jennifer Shilling says the state’s 2011-’13 state budget cut public school funding by $1.6 billion,State Budget,2011-06-30,1,0,0,0,0,0,0
246,http://data.gesis.org/claimskg/creative_work/7c682d92-54dd-5954-8784-aa60341ef38c,http://www.politifact.com/texas/statements/2015/jan/28/democratic-national-committee/national-democrats-criticizing-rick-perry-says-tex/,Democratic National Committee,College tuition rates in Texas jumped by 55% since 2003.',"National Democrats, criticizing Rick Perry, say Texas college tuition up 55 percent since 2003","State Finances,State Budget",2015-01-15,1,0,0,0,0,0,0
247,http://data.gesis.org/claimskg/creative_work/a58269a9-8839-5e97-9e8e-0b08cabc0da7,http://www.politifact.com/wisconsin/statements/2014/sep/07/greater-wisconsin-political-fund/scott-walker-cut-school-funding-more-any-governor-/,Greater Wisconsin Committee,Scott Walker cut school funding more per student than any governor in America.',"Scott Walker cut school funding more than any governor, Greater Wisconsin Committee claims","Children,Message Machine 2014,States,State Budget",2014-08-28,1,0,0,0,0,0,0
248,http://data.gesis.org/claimskg/creative_work/60fc51e2-1779-50d3-bbcc-dc1c56d5bef1,http://www.politifact.com/virginia/statements/2016/oct/31/levar-stoney/levar-stoney-weakly-claims-jack-berry-voted-cut-23/,Levar Stoney,Jack Berry voted for a plan to cut $23.8 million from our schools.',Levar Stoney weakly claims that Jack Berry voted to cut $23.8 million from Richmond schools,"Voting Record,City Budget",2016-10-17,1,0,0,0,0,0,0
270,http://data.gesis.org/claimskg/creative_work/742e6c50-1208-5770-958f-5b4e502930ce,http://www.politifact.com/wisconsin/statements/2017/mar/03/kathleen-vinehout/are-kids-rural-wisconsin-crossing-condemned-bridge/,Kathleen Vinehout,Wisconsin children are crossing 'condemned bridges in the middle of the winter to get to the school bus.',Are kids in rural Wisconsin crossing 'condemned' bridges to catch their school bus?,"Infrastructure,Children,Transportation,Public Safety",2017-02-24,1,0,0,0,0,0,0
284,http://data.gesis.org/claimskg/creative_work/2986bf6b-d1a8-5ebd-8f7b-3466dc8deff7,http://www.politifact.com/texas/statements/2010/oct/28/lloyd-doggett/rep-lloyd-doggett-says-donna-campbell-has-called-e/,Lloyd Doggett,Donna Campbell has called for ending all federal funding for education',Rep. Lloyd Doggett says that Donna Campbell has called for ending all fderal funding for education,Federal Budget,2010-10-27,1,0,0,0,0,0,0
314,http://data.gesis.org/claimskg/creative_work/9f353a5c-b8f3-56ea-9717-3add46794dbf,http://www.politifact.com/florida/statements/2016/feb/22/janet-adkins/traditional-schools-get-much-more-capital-funding-/,Janet Adkins,"There is great disparity, tremendous disparity, in the (capital) funding on a per-student basis between our traditional public schools and our charter public schools.'","Traditional schools get much more capital funding than charter schools, state Rep. Adkins says",State Budget,2016-02-09,1,0,0,0,0,0,0
383,http://data.gesis.org/claimskg/creative_work/4167a881-5d4b-5301-9297-67b275ea9296,http://www.politifact.com/ohio/statements/2011/aug/30/jim-petro/chancellor-jim-petro-says-boosting-bachelors-degre/,Jim Petro,Every 1 percent increase in the number of Ohioans with bachelor’s degrees 'means economic activity growing the next year and for each year thereafter (by) $2.5 billion dollars.',Chancellor Jim Petro says boosting bachelor's degrees in Ohio would boost economy,Income,2011-08-11,1,0,0,0,0,0,0
393,http://data.gesis.org/claimskg/creative_work/a47092d5-f1f1-5b59-aafa-ec8f16039b74,http://www.politifact.com/georgia/statements/2013/aug/30/paul-broun/brouns-education-salaries-remark-mostly-target/,Paul Broun,"While fat-cat bureaucrats at the Department of Education are getting paid an average salary of $102,000 a year, teachers in Georgia are getting paid half of that.'",Broun's education salaries remark mostly on target,Federal Budget,2013-07-19,1,0,0,0,0,0,0
395,http://data.gesis.org/claimskg/creative_work/0c3871d6-8957-5c59-8e75-90f857027bc5,http://www.politifact.com/north-carolina/statements/2016/mar/14/pat-mccrory/mccrory-right-cooper-lacks-plan-paying-overstates-/,Pat McCrory,Roy Cooper won't say how he will pay for ‘free’ college tuition.',McCrory right that Cooper lacks a plan for paying but overstates what Cooper wants to pay for,State Budget,2016-03-09,1,0,0,0,0,0,0
402,http://data.gesis.org/claimskg/creative_work/b353fc86-50aa-5d8b-b667-ad0358f14fb4,http://www.politifact.com/pennsylvania/statements/2017/feb/27/john-eichelberger/checking-rural-pa-republicans-claim-city-students-/,John Eichelberger,"Inner-city students 'fall back and don’t succeed, whereas if there was a less intensive track, they would.'",Checking rural PA Republican’s claim that city students need ‘less intensive’ education,"Urban,Diversity",2017-02-13,1,0,0,0,0,0,0
425,http://data.gesis.org/claimskg/creative_work/af237f7c-4130-57e9-a09b-c9455da7628a,http://www.politifact.com/wisconsin/statements/2012/may/13/chain-email/email-says-rule-change-gov-scott-walker-slashed-sa/,Chain email,The salaries of Wisconsin’s best-educated public school teachers were 'slashed' by Gov. Scott Walker through a recent administrative rule change.,Email says rule change by Gov. Scott Walker ‘slashed’ salaries of best-educated public school teachers,"Labor,State Budget",2012-04-26,1,0,0,0,0,0,0
430,http://data.gesis.org/claimskg/creative_work/7479846f-5651-5b83-abf0-9250a94276da,http://www.politifact.com/virginia/statements/2012/apr/04/scott-lingamfelter/republicans-say-tim-kaine-cut-higher-education-25-/,Scott Lingamfelter,"Tim Kaine 'reduced higher education funding by 25 percent when he was governor, driving up tuition...'",GOP says Tim Kaine cut colleges by 25 percent,State Budget,2012-02-22,1,0,0,0,0,0,0
436,http://data.gesis.org/claimskg/creative_work/9da2d203-d87e-5cde-8a9d-86ba5e3d2076,http://www.politifact.com/florida/statements/2013/aug/02/florida-democratic-party/rick-scott-increased-tuition-our-state-colleges-an/,Florida Democratic Party,Rick Scott 'increased tuition at our state colleges and universities by double digits.',"Rick Scott 'increased tuition at our state colleges and universities by double digits,' Florida Democratic Party says",State Budget,2013-07-25,1,0,0,0,0,0,0
439,http://data.gesis.org/claimskg/creative_work/2cc4de4e-52cf-56ed-9bf2-4a8ebbbac3e5,http://www.politifact.com/california/statements/2017/nov/09/delaine-eastin/false-claim-california-has-built-nearly-four-times/,Delaine Eastin,"Since 1965, California has built 'six (college) campuses but 23 prisons.'",The False claim California has built far more prisons than colleges since 1965,"State government spending,State Finances,Crime,Criminal Justice,State Budget,The 2018 California Governor's Race",2017-10-16,1,0,0,0,0,0,1
446,http://data.gesis.org/claimskg/creative_work/4b47be6c-72a7-5cce-852e-fdf1bbc5147b,http://www.politifact.com/ohio/statements/2012/aug/17/chris-redfern/ohio-democratic-party-chairman-chris-redfern-says-/,Chris Redfern,Says Gov. John Kasich can remove the president of the State Board of Education.,Ohio Democratic Party Chairman Chris Redfern says Gov. John Kasich has power to force school board president to step aside,Guns,2013-01-23,1,0,0,0,0,0,0
450,http://data.gesis.org/claimskg/creative_work/92d0b1a7-2e78-5e74-8df4-42b357fc6dfe,http://www.politifact.com/rhode-island/statements/2015/mar/15/erika-sanzi/writer-says-most-children-ri-charter-school-lotter/,Erika Sanzi,"Of the 10,000 Rhode Island children in charter school lotteries for the fall, more than 70 percent are poor .... In addition, a majority of them are students of color.'","Writer says most children in R.I. charter school lotteries are poor, minority","Children,Diversity",2015-03-05,1,0,0,0,0,0,0
451,http://data.gesis.org/claimskg/creative_work/2c86ad74-8a80-5630-82f5-f1c82971467a,http://www.politifact.com/texas/statements/2014/feb/05/greg-abbott/idea-schools-serving-many-disadvantaged-background/,Greg Abbott,Says 85 percent of IDEA charter-school students come from low-income families and about 99 percent of its graduates go to college.,"IDEA schools serve many from disadvantaged backgrounds and 99 percent of graduates have enrolled in college, though that overlooks students who left the schools",Children,2013-12-12,1,0,0,0,0,0,0
456,http://data.gesis.org/claimskg/creative_work/67357f3f-fc90-5851-876f-976d34c53f02,http://www.politifact.com/texas/statements/2012/sep/21/progress-texas/progress-texas-says-constitutional-amendment-instr/,Progress Texas,Says a voter-adopted constitutional amendment 'instructed' a state board headed by Jerry Patterson to put $300 million in investment earnings into a fund supporting public school operations.,Progress Texas says constitutional amendment instructed board headed by land commissioner to transfer $300 million to school fund,State Budget,2012-09-07,1,0,0,0,0,0,0
466,http://data.gesis.org/claimskg/creative_work/27853120-a618-55b7-903d-3ecdbb86a918,http://www.politifact.com/north-carolina/statements/2016/jun/16/americans-prosperity-north-carolina-chapter/americans-prosperity-exaggerates-number-failing-sc/," Americans For Prosperity, North Carolina chapter",There are '500 failing schools in North Carolina',Americans For Prosperity exaggerates the number of failing schools in North Carolina,"Children,Poverty",2016-06-01,1,0,0,0,0,0,0
482,http://data.gesis.org/claimskg/creative_work/9e95bb38-366f-5ce0-93b4-202d10efdd99,http://www.politifact.com/texas/statements/2012/dec/05/dan-micciche/dallas-school-board-member-says-poverty-among-dall/,Dan Micciche,"The poverty level in' the Dallas school district 'is one of the highest in the country, higher than New York, Chicago, Los Angeles, Houston, Detroit and Newark.'","Dallas school board member says poverty among Dallas students is high and greater than in some other large, urban districts",Poverty,2012-11-04,1,0,0,0,0,0,0
487,http://data.gesis.org/claimskg/creative_work/384b4382-678a-56ac-980d-5492bfeda472,http://www.politifact.com/truth-o-meter/statements/2011/oct/17/david-axelrod/obama-adviser-axelrod-says-republican-want-deep-ed/,David Axelrod,Says Republicans want to cut education by 25 percent.,Obama adviser Axelrod says Republican want deep education cuts,"Federal Budget,New Hampshire 2012",2011-09-27,1,0,0,0,0,0,0
492,http://data.gesis.org/claimskg/creative_work/7e2cb24c-35bb-520a-9232-4627a89b6116,http://www.politifact.com/global-news/statements/2016/jul/14/snapchat/snapchat-highlights-decades-old-data-part-michelle/,Snapchat,90% of rural women and 55% of all women are illiterate' in Morocco.,Snapchat highlights decades old data as part of Michelle Obama visit to Morocco,Women,2016-06-30,1,0,0,0,0,0,0
523,http://data.gesis.org/claimskg/creative_work/4ae3b160-54fb-51fd-baf1-3c9679f24240,http://www.politifact.com/florida/statements/2010/sep/16/national-republican-congressional-committee/allen-boyd-cost-sallie-mae-employees-their-jobs-he/,National Republican Congressional Committee,700 jobs (were) lost because Allen Boyd' voted for the health care bill.,"Allen Boyd cost Sallie Mae employees their jobs with health care vote, Republicans claim","Message Machine 2010,Elections",2010-09-12,0,1,0,0,0,0,0
530,http://data.gesis.org/claimskg/creative_work/9cfbc795-26b8-578b-a401-4646dfe44e6d,http://www.politifact.com/texas/statements/2018/aug/15/donna-howard/donna-howard-says-charter-schools-draw-more-studen/,Donna Howard,Says Texas charter schools 'get 100% state $/pupil funding while district schools (95% students) get about 1/3 funding from state w/ rest coming from local prop taxes (which is why those taxes are so high). Districts getting less b/c scarce $ going to charters.',Donna Howard says charter schools draw more per-student state aid than socked school districts,"State Finances,State Budget",2018-07-18,1,0,0,0,1,0,0
